"CensusTract","State","County","Urban","POP2010","OHU2010","GroupQuartersFlag","NUMGQTRS","PCTGQTRS","LILATracts_1And10","LILATracts_halfAnd10","LILATracts_1And20","LILATracts_Vehicle","HUNVFlag","LowIncomeTracts","PovertyRate","MedianFamilyIncome","LA1and10","LAhalfand10","LA1and20","LATracts_half","LATracts1","LATracts10","LATracts20","LATractsVehicle_20","LAPOP1_10","LAPOP05_10","LAPOP1_20","LALOWI1_10","LALOWI05_10","LALOWI1_20","lapophalf","lapophalfshare","lalowihalf","lalowihalfshare","lakidshalf","lakidshalfshare","laseniorshalf","laseniorshalfshare","lawhitehalf","lawhitehalfshare","lablackhalf","lablackhalfshare","laasianhalf","laasianhalfshare","lanhopihalf","lanhopihalfshare","laaianhalf","laaianhalfshare","laomultirhalf","laomultirhalfshare","lahisphalf","lahisphalfshare","lahunvhalf","lahunvhalfshare","lasnaphalf","lasnaphalfshare","lapop1","lapop1share","lalowi1","lalowi1share","lakids1","lakids1share","laseniors1","laseniors1share","lawhite1","lawhite1share","lablack1","lablack1share","laasian1","laasian1share","lanhopi1","lanhopi1share","laaian1","laaian1share","laomultir1","laomultir1share","lahisp1","lahisp1share","lahunv1","lahunv1share","lasnap1","lasnap1share","lapop10","lapop10share","lalowi10","lalowi10share","lakids10","lakids10share","laseniors10","laseniors10share","lawhite10","lawhite10share","lablack10","lablack10share","laasian10","laasian10share","lanhopi10","lanhopi10share","laaian10","laaian10share","laomultir10","laomultir10share","lahisp10","lahisp10share","lahunv10","lahunv10share","lasnap10","lasnap10share","lapop20","lapop20share","lalowi20","lalowi20share","lakids20","lakids20share","laseniors20","laseniors20share","lawhite20","lawhite20share","lablack20","lablack20share","laasian20","laasian20share","lanhopi20","lanhopi20share","laaian20","laaian20share","laomultir20","laomultir20share","lahisp20","lahisp20share","lahunv20","lahunv20share","lasnap20","lasnap20share","TractLOWI","TractKids","TractSeniors","TractWhite","TractBlack","TractAsian","TractNHOPI","TractAIAN","TractOMultir","TractHispanic","TractHUNV","TractSNAP"
53001950100,"Washington","adams",0,2447,1041,0,59,0.0241112,0,0,0,0,0,1,12.4,58056,0,0,0,0,0,0,0,0,325.5443266,325.5443266,20.14779299,47.95179946,47.95179946,2.967715488,1387.263564,0.566924219,392.1063582,0.160239623,297.1998596,0.121454785,298.7433894,0.12208557,1332.637149,0.544600388,0,0,6.264508761,0.002560077,0,0,12.77680447,0.005221416,35.58510368,0.014542339,42.15612804,0.017227678,24.37148792,0.023411612,106.3317501,0.102143852,745.4457144,0.304636581,115.4641551,0.047186005,185.4025453,0.075767285,114.4727218,0.046780843,719.4454756,0.294011228,0,0,2.000095417,0.000817366,0,0,9.99999976,0.004086637,14.00014293,0.00572135,17.00014302,0.006947341,0.696023988,0.000668611,49.8810394,0.047916464,325.5443266,0.133038139,47.95179946,0.019596158,101.3298384,0.041409824,32.12493439,0.013128294,309.8803866,0.126636856,0,0,2.000000018,0.000817327,0,0,5.751142049,0.002350283,7.912797484,0.003233673,10.00322065,0.004087953,0,0,18.1020296,0.017389077,20.14779299,0.008233671,2.967715488,0.001212798,8.72333083,0.003564908,0,0,19.64741579,0.008029185,0,0,0.500377196,0.000204486,0,0,0,0,0,0,0.500377196,0.000204486,0,0,0.857860473,0.000824073,840,534,516,2326,2,11,0,24,84,112,63,192
53001950200,"Washington","adams",0,1738,699,0,0,0,1,1,0,0,0,1,21.6,59653,1,1,0,0,0,1,0,0,1427.026677,1427.026677,307.2381886,519.8478487,519.8478487,102.0195526,1738.000007,1.000000004,674.6080877,0.388151949,435.0000032,0.250287689,305.0000012,0.175489069,1524.000004,0.876869968,23.99999994,0.013808976,11.9999999,0.006904488,2.000000075,0.001150748,10.00000009,0.00575374,166.0000009,0.095512083,202.0000008,0.116225547,13.27891361,0.018997015,116.5000006,0.166666667,1738.000007,1.000000004,674.6080877,0.388151949,435.0000032,0.250287689,305.0000012,0.175489069,1524.000004,0.876869968,23.99999994,0.013808976,11.9999999,0.006904488,2.000000075,0.001150748,10.00000009,0.00575374,166.0000009,0.095512083,202.0000008,0.116225547,13.27891361,0.018997015,116.5000006,0.166666667,1427.026677,0.821074038,519.8478487,0.299106933,345.0968618,0.198559759,271.9822173,0.156491494,1276.198136,0.734291218,23.4960752,0.013519031,10.99999988,0.006329114,1.000000038,0.000575374,4.777487757,0.002748842,110.5549764,0.063610458,140.1954113,0.080664794,13.0644666,0.018690224,98.75347762,0.141278223,307.2381886,0.176776863,102.0195526,0.058699397,57.27230016,0.032952992,77.52599688,0.044606442,291.0382021,0.167455813,2.000000121,0.001150748,0,0,0,0,3.000000061,0.001726122,11.19998681,0.006444181,11.41701065,0.006569051,5.896821378,0.008436082,24.02491529,0.034370408,645,435,305,1524,24,12,2,10,166,202,13,111
53001950300,"Washington","adams",1,6934,1801,0,29,0.0041823,1,1,1,0,0,1,22.1,48906,1,1,1,1,1,0,0,0,5907.596754,6807.458395,5907.596754,3619.531027,3928.202155,3619.531027,6807.458395,0.981750562,3928.202155,0.566513146,2611.057392,0.376558609,470.7302933,0.067887265,3693.598841,0.532679383,47.99999944,0.006922411,15.00000039,0.002163254,1.771127616,0.000255427,159.0994639,0.022944832,2889.988963,0.416785256,4954.86938,0.714575913,25.61700883,0.014223769,491.5586211,0.272936491,5907.596754,0.851975303,3619.531027,0.521997552,2274.008675,0.327950487,410.7843775,0.05924205,3364.585558,0.485230106,42.9999994,0.006201327,10.90345095,0.001572462,1.000000005,0.000144217,129.3476984,0.018654124,2358.760038,0.340173066,4112.993283,0.59316315,23.57338811,0.013089055,433.8895309,0.240915897,18.55624589,0.002676124,9.917667052,0.001430295,6.124925813,0.000883318,0.546888079,7.88705e-05,14.28892849,0.002060705,0,0,0,0,0,0,0,0,4.267317374,0.000615419,12.24900225,0.001766513,0.273316316,0.000151758,1.696028344,0.000941715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4127,2656,477,3747,48,15,2,164,2958,5063,26,496
53001950400,"Washington","adams",1,2856,882,0,74,0.0259104,0,1,0,0,0,1,28.4,43125,0,1,0,1,0,0,0,0,22.40022087,729.0303837,22.40022087,9.90530014,350.5815388,9.90530014,729.0303837,0.255262739,350.5815388,0.12275264,243.1882708,0.085149955,113.0177627,0.039572046,535.2341093,0.187406901,5,0.0017507,6.584683626,0.002305561,0,0,2.000000026,0.00070028,180.2115996,0.0630993,425.6950759,0.149052898,44.06451547,0.049959768,51.1330443,0.057973973,22.40022087,0.007843215,9.90530014,0.003468242,10.4937973,0.003674299,1.614430308,0.000565277,16.34610748,0.005723427,0,0,0.201803789,7.06596e-05,0,0,0,0,5.852309704,0.002049128,12.31003094,0.004310235,1.40987289,0.001598495,1.411721587,0.001600591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486,1018,330,1764,13,29,0,50,1000,1973,133,195
53001950500,"Washington","adams",1,4753,1297,0,0,0,0,1,0,0,0,1,28.2,44861,0,1,0,1,0,0,0,0,234.1357238,1721.49666,234.1357238,155.5917014,1006.252466,155.5917014,1721.49666,0.362191597,1006.252466,0.211708914,778.3058301,0.163750438,65.94260166,0.013873891,743.2721134,0.156379574,7.806432922,0.001642422,23.25271035,0.004892218,0,0,30.36184409,0.006387933,916.8035272,0.192889444,1517.41737,0.319254654,6.52113751,0.005027862,82.8260219,0.063859693,234.1357238,0.049260619,155.5917014,0.032735473,93.30317336,0.019630375,17.88315335,0.003762498,165.638891,0.034849335,0.999999951,0.000210393,0.999999953,0.000210393,0,0,0.997662687,0.000209902,65.49916899,0.013780595,198.8700191,0.041840947,0.959057904,0.000739443,12.57955327,0.009698962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2629,1869,287,2342,22,58,0,108,2223,3749,22,271
53003960100,"Washington","asotin",0,4304,1713,0,0,0,0,0,0,0,0,0,11.5,71776,1,1,0,0,0,1,0,0,556.8041552,556.8041552,174.4747023,208.9886532,208.9886532,65.36819112,4133.475078,0.960379897,1163.065656,0.270229009,940.6629355,0.218555515,771.6549989,0.179287871,3960.274843,0.920138207,11.99999979,0.002788104,18.00000034,0.004182156,13,0.003020446,42.45857208,0.00986491,87.74167786,0.020386078,93.39966092,0.021700665,10.73995647,0.006269677,155.4035778,0.090720127,3277.258353,0.761444785,1014.325169,0.235670346,732.823252,0.170265625,636.4677905,0.147878204,3146.994787,0.731179086,11.99999979,0.002788104,14.79593357,0.003437717,12.00000006,0.002788104,32.36483407,0.007519711,59.10281497,0.013732067,65.67670039,0.015259456,10.73995647,0.006269677,125.4965052,0.073261241,556.8041552,0.129368995,208.9886532,0.048556843,80.50067155,0.018703688,107.7387476,0.025032237,540.3757429,0.125551985,0,0,0,0,0,0,4.651784977,0.001080805,11.77662663,0.002736205,16.72317796,0.003885497,4.457603609,0.00260222,23.83836856,0.013916152,174.4747023,0.040537803,65.36819112,0.015187777,16.3943613,0.003809099,42.35562159,0.00984099,172.8345043,0.040156716,0,0,0,0,0,0,0.282631356,6.56671e-05,1.357566212,0.00031542,2.362322569,0.000548867,1.591484172,0.000929063,8.274272223,0.004830282,1164,985,797,4117,12,18,13,44,100,101,11,158
53003960200,"Washington","asotin",1,4542,1978,0,5,0.0011008,0,0,0,0,0,0,6.5,61250,1,1,1,1,1,0,0,0,1665.678064,3281.960882,1665.678064,410.8052337,698.830805,410.8052337,3281.960882,0.722580555,698.830805,0.15385971,643.9662521,0.141780329,739.1825451,0.162743845,3153.866412,0.694378338,10.89968869,0.002399755,12.55427106,0.00276404,6.698313272,0.00147475,32.170366,0.007082863,65.77182908,0.014480808,77.64543916,0.017094989,29.48875587,0.01490837,108.8754666,0.055043209,1665.678064,0.366727887,410.8052337,0.09044589,310.6866567,0.068403051,376.1071457,0.082806505,1606.801104,0.353765104,5.315763835,0.001170358,7.218548683,0.001589289,5.356255709,0.001179273,17.41791298,0.003834855,23.56847201,0.005189007,31.36202664,0.006904894,9.139681257,0.004620668,55.1095242,0.027861236,14.97082342,0.003296086,4.118742872,0.000906813,2.519546912,0.000554722,4.746178487,0.001044953,14.53145042,0.003199351,0,0,0,0,0,0,0,0,0.439373009,9.67356e-05,0.292915338,6.44904e-05,0.080684182,4.07908e-05,0.392813161,0.000198591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,869,1092,4365,20,24,7,40,86,97,65,163
53003960300,"Washington","asotin",1,3775,1720,0,47,0.0124503,0,1,0,1,1,1,18.5,41905,0,1,0,1,0,0,0,1,88.84524202,2226.810905,88.84524202,33.31696486,1125.194029,33.31696486,2226.810905,0.589883683,1125.194029,0.298064643,501.7537558,0.132914902,344.1561439,0.09116719,2037.916238,0.539845361,23.23491054,0.006154943,12.29591413,0.003257196,1.99999994,0.000529801,65.93737908,0.017466855,85.42646033,0.022629526,84.47430641,0.0223773,109.1015549,0.063431137,277.4873945,0.161329881,88.84524202,0.023535163,33.31696486,0.008825686,43.74119401,0.011587071,0.630732775,0.000167082,66.79976463,0.017695302,1.25963676,0.000333679,3.149091959,0.000834197,0,0,5.935326099,0.001572272,11.70141745,0.003099713,3.331435204,0.000882499,2.279570922,0.001325332,8.175911963,0.004753437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1543,855,553,3470,35,27,2,101,140,143,185,415
53003960400,"Washington","asotin",1,2165,917,0,20,0.0092379,0,1,0,0,0,1,20.1,42255,0,1,0,1,0,0,0,0,291.9217439,1663.409271,291.9217439,156.000361,843.0726916,156.000361,1663.409271,0.76831837,843.0726916,0.389410019,371.8144172,0.171738761,306.5633949,0.141599721,1537.116004,0.709984297,7.125597419,0.003291269,8.125597369,0.003753163,3.000000015,0.001385681,15.24796472,0.00704294,92.79410559,0.042861019,57.02977165,0.026341696,42.80032149,0.046674287,168.7528329,0.184027081,291.9217439,0.134836833,156.000361,0.072055594,72.6625751,0.03356239,39.81271667,0.018389246,255.7736983,0.118140276,2.172425872,0.00100343,4.877816498,0.002253033,2.551722407,0.001178625,5.245677412,0.002422946,21.30040173,0.009838523,10.86781079,0.005019774,7.933477362,0.008651557,29.33965203,0.031995258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1163,474,392,2009,8,11,3,21,113,82,56,241
53003960500,"Washington","asotin",1,3424,1497,0,87,0.0254089,0,1,0,0,0,1,25.7,48234,0,1,0,1,0,0,0,0,0,1108.348827,0,0,438.3862644,0,1108.348827,0.323700008,438.3862644,0.128033372,248.6783985,0.072628037,176.0664427,0.051421274,1029.596138,0.300699807,6.50541421,0.001899946,16.20267069,0.004732088,1.431032981,0.000417942,20.95839364,0.006121026,33.65517273,0.009829198,30.00809259,0.008764046,49.33501696,0.032955923,125.5689803,0.083880414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2046,771,692,3151,15,25,5,60,168,137,225,416
